Time,LogSeconds,LogMilliseconds,DelayLevelInPercentage,ECU_ON_Injector_Microseconds,ComputedDelayToAddInMicroseconds,DelayAddedInMicroseconds,OnInjectorMicroseconds,OffInjectorMicroseconds,WarningCount,RPMs,NewInjectorDutyCycle (%),EcuInjectorDutyCycle (%)
15:10:39,1,578,5,22700,1100,1200,23900,134100,0,24,15.12658228,14.36708861
15:10:39,1,686,5,22500,1100,1200,23700,85200,0,765,21.7630854,20.66115702
15:10:39,1,764,5,22700,1100,1200,23900,55600,0,1114,30.06289308,28.55345912
15:10:39,1,798,5,14000,700,800,14800,20900,0,1532,41.45658263,39.21568627
15:10:39,1,836,10,9700,900,1000,10700,27900,0,3438,27.72020725,25.12953368
15:10:39,1,874,10,9700,900,1000,10700,28200,0,3191,27.50642674,24.93573265
15:10:39,1,910,10,9300,900,1000,10300,27500,0,3166,27.24867725,24.6031746
15:10:39,1,945,10,8700,800,900,9600,26200,0,3260,26.81564246,24.30167598
15:10:39,1,979,10,8300,800,900,9200,25800,0,3438,26.28571429,23.71428571
15:10:40,2,12,10,8000,800,900,8900,24800,0,3519,26.40949555,23.7388724
15:10:40,2,44,10,7800,700,800,8600,24600,0,3658,25.90361446,23.4939759
15:10:40,2,75,10,7500,700,800,8300,24100,0,3703,25.61728395,23.14814815
15:10:40,2,106,10,7400,700,800,8200,23900,0,3797,25.54517134,23.0529595
15:10:40,2,137,10,7200,700,800,8000,23600,0,3833,25.3164557,22.78481013
15:10:40,2,198,10,6900,600,700,7600,54600,0,3896,12.21864952,11.09324759
15:10:40,2,292,5,12700,600,700,13400,81000,0,1951,14.19491525,13.45338983
15:10:40,2,344,5,12400,600,700,13100,39500,0,1280,24.90494297,23.57414449
15:10:40,2,400,5,12200,600,700,12900,44600,0,2312,22.43478261,21.2173913
15:10:40,2,457,5,12000,600,700,12700,45000,0,2112,22.01039861,20.79722704
15:10:40,2,514,5,11700,500,600,12300,45000,0,2105,21.46596859,20.41884817
15:10:40,2,571,5,11500,500,600,12100,46100,0,2116,20.79037801,19.75945017
15:10:40,2,627,5,11500,500,600,12100,44800,0,2083,21.26537786,20.21089631
15:10:40,2,684,5,11300,500,600,11900,45200,0,2131,20.84063047,19.78984238
15:10:40,2,747,5,11200,500,600,11800,52200,0,2123,18.4375,17.5
15:10:40,2,804,5,11200,500,600,11800,46300,0,1892,20.30981067,19.27710843
15:10:40,2,861,5,10900,500,600,11500,45800,0,2086,20.06980803,19.02268761
15:10:40,2,918,5,10800,500,600,11400,45800,0,2116,19.93006993,18.88111888
15:10:40,2,975,5,10900,500,600,11500,46700,0,2120,19.75945017,18.72852234
15:10:41,3,36,5,11000,500,600,11600,49700,0,2083,18.9233279,17.94453507
15:10:41,3,95,5,10900,500,600,11500,48800,0,1976,19.07131012,18.07628524
15:10:41,3,156,5,10900,500,600,11500,49600,0,2010,18.82160393,17.8396072
15:10:41,3,216,5,10900,500,600,11500,49800,0,1983,18.76019576,17.78140294
15:10:41,3,276,5,10700,500,600,11300,49500,0,1976,18.58552632,17.59868421
15:10:41,3,337,5,10600,500,600,11200,50500,0,1993,18.15235008,17.17990276
15:10:41,3,401,5,10600,500,600,11200,53100,0,1963,17.41835148,16.48522551
15:10:41,3,466,5,10700,500,600,11300,55000,0,1883,17.04374057,16.1387632
15:10:41,3,535,5,10700,500,600,11300,57700,0,1826,16.37681159,15.50724638
15:10:41,3,601,5,10600,500,600,11200,56300,0,1754,16.59259259,15.7037037
15:10:41,3,668,5,10600,500,600,11200,55700,0,1793,16.74140508,15.8445441
15:10:41,3,733,5,10400,500,600,11000,55600,0,1809,16.51651652,15.61561562
15:10:41,3,799,5,10400,500,600,11000,55400,0,1818,16.56626506,15.6626506
15:10:41,3,865,5,10600,500,600,11200,55700,0,1823,16.74140508,15.8445441
15:10:41,3,931,5,10400,500,600,11000,55700,0,1809,16.49175412,15.5922039
15:10:41,3,997,5,10400,500,600,11000,56000,0,1815,16.41791045,15.52238806
15:10:42,4,64,5,10300,500,600,10900,57000,0,1807,16.05301915,15.16936672
15:10:42,4,132,5,10200,500,600,10800,57200,0,1783,15.88235294,15
15:10:42,4,199,5,10200,500,600,10800,57000,0,1780,15.92920354,15.04424779
15:10:42,4,266,5,10200,500,600,10800,57100,0,1785,15.90574374,15.02209131
15:10:42,4,333,5,10200,500,600,10800,57000,0,1783,15.92920354,15.04424779
15:10:42,4,399,5,10100,500,600,10700,56200,0,1785,15.99402093,15.09715994
15:10:42,4,466,5,10100,500,600,10700,56400,0,1809,15.94634873,15.05216095
15:10:42,4,532,5,10100,500,600,10700,56300,0,1804,15.97014925,15.07462687
15:10:42,4,598,5,10000,500,600,10600,56400,0,1807,15.82089552,14.92537313
15:10:42,4,665,5,10000,500,600,10600,57200,0,1807,15.63421829,14.74926254
15:10:42,4,732,5,10000,500,600,10600,57000,0,1785,15.68047337,14.79289941
15:10:42,4,798,5,9900,400,500,10400,56200,0,1791,15.61561562,14.86486486
15:10:42,4,864,5,9900,400,500,10400,56500,0,1815,15.54559043,14.79820628
15:10:42,4,931,5,9800,400,500,10300,57400,0,1807,15.21418021,14.47562777
15:10:42,4,999,5,9800,400,500,10300,58100,0,1785,15.05847953,14.32748538
15:10:43,5,70,5,9700,400,500,10200,57800,0,1767,15,14.26470588
15:10:43,5,134,5,9800,400,500,10300,57500,0,1777,15.19174041,14.45427729
