Timp,Secunda,Increase Percentage,TimeON,Add time,TimeOFF,DuttyCycle,Warnings,Second
18:05:42,0:00:00,0%,23220,0,141220,14%,0,1
18:05:42,0:00:00,0%,23190,0,78440,22%,0,1
18:05:42,0:00:00,0%,23450,0,47730,32%,0,1
18:05:42,0:00:00,0%,14450,0,21540,40%,0,1
18:05:42,0:00:00,0%,10260,0,29590,25%,0,1
18:05:42,0:00:00,0%,10160,0,30970,24%,0,1
18:05:42,0:00:00,0%,9910,0,30160,24%,0,1
18:05:42,0:00:00,0%,9260,0,28750,24%,0,1
18:05:42,0:00:00,0%,8800,0,28650,23%,0,1
18:05:42,0:00:00,0%,8400,0,28040,23%,0,1
18:05:42,0:00:00,0%,8160,0,28220,22%,0,1
18:05:42,0:00:00,0%,7950,0,28010,22%,0,1
18:05:42,0:00:00,0%,7780,0,28250,21%,0,1
18:05:42,0:00:00,0%,7540,0,28230,21%,0,1
18:05:42,0:00:00,0%,7200,0,63990,10%,0,1
18:05:42,0:00:00,0%,13530,0,96280,12%,0,1
18:05:42,0:00:00,0%,13120,0,49390,20%,0,1
18:05:43,0:00:00,0%,12980,0,54510,19%,0,2
18:05:43,0:00:00,0%,12810,0,54070,19%,0,2
18:05:43,0:00:00,0%,12730,0,53720,19%,0,2
18:05:43,0:00:00,0%,12540,0,53340,19%,0,2
18:05:43,0:00:00,0%,12180,0,52950,18%,0,2
18:05:43,0:00:00,0%,12000,0,52730,18%,0,2
18:05:43,0:00:00,0%,11950,0,60640,16%,0,2
18:05:43,0:00:00,0%,11700,0,54290,17%,0,2
18:05:43,0:00:00,0%,11640,0,52880,18%,0,2
18:05:43,0:00:00,0%,11550,0,53220,17%,0,2
18:05:43,0:00:00,0%,11670,0,53720,17%,0,2
18:05:43,0:00:00,0%,11630,0,54010,17%,0,2
18:05:43,0:00:00,0%,11540,0,54540,17%,0,2
18:05:43,0:00:00,0%,11260,0,55070,16%,0,2
18:05:43,0:00:00,0%,11220,0,55670,16%,0,2
18:05:44,0:00:00,0%,11190,0,56350,16%,0,3
18:05:44,0:00:00,0%,11250,0,58140,16%,0,3
18:05:44,0:00:00,0%,11090,0,62040,15%,0,3
18:05:44,0:00:00,0%,11140,0,63110,15%,0,3
18:05:44,0:00:00,0%,11080,0,64210,14%,0,3
18:05:44,0:00:00,0%,11120,0,64430,14%,0,3
18:05:44,0:00:00,0%,10950,0,64430,14%,0,3
18:05:44,0:00:00,0%,11050,0,64620,14%,0,3
18:05:44,0:00:00,0%,10940,0,64780,14%,0,3
18:05:44,0:00:00,0%,10840,0,66470,14%,0,3
18:05:44,0:00:00,0%,10850,0,62920,14%,0,3
18:05:44,0:00:00,0%,10740,0,64120,14%,0,3
18:05:44,0:00:00,0%,10700,0,63910,14%,0,3
18:05:45,0:00:00,0%,10630,0,63590,14%,0,4
18:05:45,0:00:00,0%,10690,0,63190,14%,0,4
18:05:45,0:00:00,0%,10570,0,63230,14%,0,4
18:05:45,0:00:00,0%,10530,0,63020,14%,0,4
18:05:45,0:00:00,0%,10570,0,62730,14%,0,4
18:05:45,0:00:00,0%,10440,0,62170,14%,0,4
18:05:45,0:00:00,0%,10490,0,61860,14%,0,4
18:05:45,0:00:00,0%,10450,0,61230,14%,0,4
18:05:45,0:00:00,0%,10320,0,60830,14%,0,4
18:05:45,0:00:00,0%,10360,0,60560,14%,0,4
18:05:45,0:00:00,0%,10290,0,59900,14%,0,4
18:05:45,0:00:00,0%,10260,0,59350,14%,0,4
18:05:45,0:00:00,0%,10140,0,58630,14%,0,4
18:05:45,0:00:00,0%,10120,0,58030,14%,0,4
18:05:46,0:00:00,0%,10090,0,57570,14%,0,5
18:05:46,0:00:00,0%,9980,0,57380,14%,0,5
18:05:46,0:00:00,0%,9950,0,57270,14%,0,5
18:05:46,0:00:00,0%,10050,0,56770,15%,0,5
18:05:46,0:00:00,0%,10070,0,56350,15%,0,5
18:05:46,0:00:00,0%,9990,0,56110,15%,0,5
18:05:46,0:00:00,0%,9950,0,55680,15%,0,5
18:05:46,0:00:00,0%,9850,0,55450,15%,0,5
18:05:46,0:00:00,0%,9820,0,55130,15%,0,5
18:05:46,0:00:00,0%,9870,0,54690,15%,0,5
18:05:46,0:00:00,0%,9880,0,54370,15%,0,5
18:05:46,0:00:00,0%,9850,0,54510,15%,0,5
18:05:46,0:00:00,0%,9740,0,54610,15%,0,5
18:05:46,0:00:00,0%,9800,0,54410,15%,0,5
18:05:46,0:00:00,0%,9780,0,54130,15%,0,5
18:05:46,0:00:00,0%,9630,0,53670,15%,0,5
18:05:47,0:00:00,0%,9610,0,53360,15%,0,6
18:05:47,0:00:00,0%,9570,0,53130,15%,0,6
18:05:47,0:00:00,0%,9640,0,52890,15%,0,6
18:05:47,0:00:00,0%,9640,0,52400,15%,0,6
18:05:47,0:00:00,0%,9610,0,52140,15%,0,6
18:05:47,0:00:00,0%,9460,0,52000,15%,0,6
